pledged,fx_rate,backers_count,launched_at,deadline,goal
10488,1.27946283,139,1685455215,1688151540,8000
1574527,0.12780712,2162,1685453298,1688909298,30000
3994848,0.00678513,316,1685451660,1688475660,400000
795060,0.12780712,804,1685451599,1688475599,39161
354938.5,1,1556,1685451597,1688108400,50000
10647,1,79,1685446337,1688038337,7000
20922,1,212,1685444441,1686330000,15000
7539.32,0.6613551,95,1685442083,1688034083,3000
802230.320000000000,0.6613551,4996,1685436980,1688460980,80000
121650,1,1545,1685432602,1688770800,4500
86212,0.12780712,105,1685398777,1687990777,3000
252459.420000000000,0.61621015,1050,1685393704,1688706000,10000
400,1,6,1452008599,1454525340,2500
1908,1,5,1451684437,1454734740,10000
300,1,5,1451607071,1454110440,600
29,1,1,1450718661,1453310661,11200
90,1.27946283,3,1450628773,1453075200,5000
3,1,3,1450619123,1452234840,1500
0,1,0,1450322594,1452914594,18000
2030,1,26,1450235374,1452827374,14440
759,1,6,1450203416,1452795416,3500
0,1.27946283,0,1449431237,1454284500,10000
45,1,4,1449260256,1451852256,3000
0,1,0,1448595285,1450326720,58000
32,1,4,1695815021,1698407021,18453
19,1.09285079,4,1695754929,1698346929,2400
2.29,0.74106736,2,1695687864,1700875464,379000
5018.8,0.05953775,2,1694733723,1699921323,550874
2,1,2,1694730796,1697322796,63200
1,1,1,1694393576,1695689576,43000
3,1.09285079,3,1694356087,1699543687,4000
11,1.27946283,2,1694120499,1696280499,15000
11,1,2,1693887176,1696024860,15000
36,1,2,1693849997,1699033997,15000
1,1.09285079,1,1693821472,1699005472,50000
8.71,0.09771118,1,1693638610,1698822610,150000
6741.5,1,25,1688659207,1689868807,2000
2183,1,52,1688653710,1690495200,1000
1905,1,61,1688648267,1690721867,500
759,1,41,1688571680,1690005600,500
16285.42,0.61621015,130,1688562533,1690376933,1000
1283,1,23,1688556281,1691148281,1200
3715,1,57,1688475654,1689944454,500
4351,1,64,1688473677,1692361677,2000
356,1.27946283,11,1688457808,1690498740,200
10263,1,139,1688421454,1691013454,500
967.32,0.6613551,17,1688417933,1690145933,200
10380,1.09285079,744,1688378460,1689674460,2000
7146,1,51,1697802561,1700546340,5000
10268.800000000000,0.05953775,10,1697690551,1700286151,10000
50386,1,479,1697630957,1702818557,50000
6020,1,86,1697590988,1699408800,3000
71709,0.00678513,5,1697584754,1698448754,10000
23358,1,370,1697569722,1700165322,2500
10953,1,192,1697546052,1700141652,10000
64347,1.09285079,30,1697467855,1702655455,64000
1271,1,20,1697212809,1700243940,800
4298986,0.00678513,259,1697198481,1702386081,2500000
400,1.27946283,25,1696829859,1699425459,350
5132,1,50,1696825676,1700549940,4800
0,1,0,1513034836,1515620700,500000
1,1,1,1512606872,1515198872,2000
0,1,0,1512442669,1515034669,1000
0,1,0,1512205172,1517389172,5000
0,1,0,1512088587,1517272587,2000
0,1,0,1511973469,1515429469,500
131,1,3,1511824116,1517008116,7000
45,0.74106736,3,1511800021,1514392021,5000
3525,1,60,1511183001,1513756860,16000
0,0.05953775,0,1510638005,1515822005,90000
0,1,0,1509990562,1512150562,35000
60,1,3,1509941835,1514793540,5000
